"投開票所編號",場所名稱,投開票所地址,所屬里別,所屬鄰別
414,新泰國中(821教室),新泰路３５９號,立功里,15-25
415,新泰國中(822教室),新泰路３５９號,立泰里,1-6
416,新泰國中(823教室),新泰路３５９號,立泰里,7-15
417,新泰國中(824教室),新泰路３５９號,立泰里,16-21
418,新泰國小(209教室),公園一路９１號,立言里,"1-10,12"
419,新泰國小(208教室),公園一路９１號,立言里,"11,19,13-17"
420,新泰國小(207教室),公園一路９１號,立言里,"18,20-24"
421,豐年國小(116教室),瓊泰路１１６號,豐年里,"1-4,15"
422,豐年國小(117教室),瓊泰路１１６號,豐年里,"5-8,14"
423,豐年國小(118教室),瓊泰路１１６號,豐年里,"9-13,16"
424,豐年國小(115教室),瓊泰路１１６號,國泰里,全里
425,清潔大樓(清潔隊),瓊林路３４號１樓,泰豐里,"1,3-7"
426,豐年市民活動中心,豐年街５７之５號,泰豐里,"2,8-14"
427,瓊泰市民活動中心1樓,瓊泰路８５號,瓊林里,"1,2"
428,"瓊泰市民活動中心(地
下室)",瓊泰路８５號,瓊林里,3-6
429,新莊仁濟醫院,中環路一段２８號,瓊林里,7-10
430,瓊林市民活動中心,瓊林北路１之１號,瓊林里,11-20
431,福營集會所,福營路２９號,福營里,1-10
432,"新北市立新莊幼兒園
中心分班",福營路２７７號,福營里,11-20
433,國泰國小(101教室),中正路３８６號,營盤里,"1-8,19"
434,民宅,中正路５８６巷２號,營盤里,9-18
435,心慈托兒所,中正路７００之１４號,丹鳳里,1-7
436,慈悲寺,壽山路１６２號,丹鳳里,8-13
437,慈悲寺,壽山路１６２號,丹鳳里,"14-16,24-28"
438,"伊吉邦社區文教區廣
場",新北大道七段３１６號,丹鳳里,17-20
439,"伊吉邦社區文教區廣
場",新北大道七段３１６號,丹鳳里,21-23
440,"牡丹心市民活動中心
(才藝教室)",雙鳳路７５號５樓,合鳳里,1-8
441,"牡丹心市民活動中心
(閱覽室)",雙鳳路７５號５樓,合鳳里,9-16
442,"牡丹心市民活動中心
(交誼廳)",雙鳳路７５號５樓,合鳳里,17-25
443,晨光幼兒園,雙鳳路９０巷３弄５號,祥鳳里,1-8
444,晨光幼兒園,雙鳳路９０巷３弄５號,祥鳳里,9-18
445,丹鳳國小(124教室),新北大道七段４３７號,雙鳳里,1-3
