"投開票所編號",設置地點,詳細地址,"所轄選舉人里鄰別","所轄原住民 選舉人里鄰別",電話號碼,備註
"219","福安國中社區化活動教室","延平北路7段250號","福安里5-8","福安里全里","28108766轉140",
"220","福安國中家政教室","延平北路7段250號","福安里9-12","28108766轉140",
"221","富安國小112教室","延平北路8段135號","富洲里1-4,14-15","富洲里全里","28103192",
"222","富安國小大禮堂","延平北路8段135號","富洲里5-8,16","28103192",
"223","中洲區民活動中心","延平北路9段80號","富洲里9-13,17","0972295823",
"224","雨聲國小大象班教室","至誠路1段62巷70號","岩山里1-8","岩山里全里","28311004",
"225","雨聲國小幼兒園辦公室","至誠路1段62巷70號","岩山里9-16","28311004",
"226","芝山岩區民活動中心","雨聲街68號","名山里1、8、10-11、18、25","0972295825",
"227","雨農國小一年一班教室","忠義街1號","名山里2-7","28329700轉117",
"228","雨農國小一年二班教室","忠義街1號","名山里9、12-16","28329700轉117",
"229","雨農國小一年三班教室","忠義街1號","名山里17、19-24","名山里全里","28329700轉117",
"230","泰安幼兒園","中山北路5段829巷14號","德行里1-4、6-7","28314281",
"231","仰德區民活動中心前半部","德行西路30號","德行里5、8-11","德行里全里","28826200-6013",
"232","仰德區民活動中心後半部","德行西路30號","德行里12-16","28826200-6013",
"233","文昌國小多功能教室左半部(桌球室)","文林路615巷20號","德華里1-6、19","德華里全里","28365411",
"234","文昌國小多功能教室右半部","文林路615巷20號","德華里7-12","28365411",
"235","德華區民活動中心","文昌路211-1號","德華里13-18","0972295827",
"236","雨農國小一年四班教室","忠義街1號","聖山里1-8","聖山里全里","28329700轉117",
"237","雨農國小三年四班教室(二樓)","忠義街1號","聖山里9-16","28329700轉117",
"238","雨農國小三年三班教室(二樓)","忠義街1號","聖山里17-22","28329700轉117",
"239","雨農國小三年二班教室(二樓)","忠義街1號","忠誠里1-8","忠誠里全里","28329700轉117",
"240","雨農國小三年一班教室(二樓)","忠義街1號","忠誠里9-17","28329700轉117",
"241","雨農國小書法教室(二樓)","忠義街1號","忠誠里18-25","28329700轉117",
"242","芝山國小鄉土資源教室","德行東路285號","芝山里1-9","28316115轉240",
"243","芝山國小二年一班教室","德行東路285號","芝山里10-16","芝山里全里","28316115轉240",
"244","芝山國小二年二班教室","德行東路285號","芝山里17-24","28316115轉240",
"245","芝山國小二年三班教室","德行東路285號","芝山里25-30","28316115轉240",
"246","臺北市職能發展學院學員餐廳","士東路301號","東山里16-22","28721940轉258",
"247","臺北市職能發展學院育成中心","士東路301號","東山里9-15","東山里全里","28721940轉258",
"248","臺北市職能發展學院行政大樓1樓大廳","士東路301號","東山里1-8","28721940轉258",
"249","蘭雅國中九年五班教室","三玉里忠誠路2段51號","三玉里1-8","28329377轉500",
"250","蘭雅國中九年四班教室","三玉里忠誠路2段51號","三玉里9-14","28329377轉500",
