編號,設置地點,詳細地址,所轄里鄰別,電話,原住民
1322,"瑞興國小(後棟 101
教室)",博愛路 271 號,"瑞興里 10-16,23 鄰","",（2）
1323,"瑞興國小(前棟 112
教室)",博愛路 271 號,"瑞興里 18-22,24-26 鄰","","（2） 
原住民"
1324,瑞竹社區活動中心,光遠路 120 巷 16 號,"瑞興里 1-9,17 鄰","",（2）
1325,鳳山國中(303 教室),中山東路 227 號,"東門里 1-3,20,26-27 鄰","","（2） 
原住民"
1326,"中山新城國宅社區
文康室(左側)",四維街 146 號,東門里 10-16 鄰,"",（3）
1327,"中山新城國宅社區
文康室(右側)",四維街 146 號,"東門里 17-19,23-25 鄰","",（3）
1328,鳳山國中(221 教室),中山東路 227 號,"東門里 4-9,21-22 鄰","",（3）
1329,"中正國小(音樂教
室,編號 401)",勝利路 2 號,"誠德里 1-5,12 鄰","",（2）
1330,"中正國小(生活教
室,編號 402)",勝利路 2 號,"誠德里 6-11,13-14 鄰","","（2） 
原住民"
1331,鳳山國中(317 教室),中山東路 227 號,"誠信里 1-6,10-11 鄰","","（2） 
原住民"
1332,鳳山國中(319 教室),中山東路 227 號,"誠信里 7-9,12-15 鄰","",（2）
1333,"中正國小(一年 1
班,編號 601)",勝利路 2 號,"誠智里 6,12-16 鄰","","（1） 
原住民"
1334,"中正國小(一年 2
班,編號 602)",勝利路 2 號,"誠智里 1-5,7-11 鄰","",（2）
1335,"鳳東里活動中心
(左側)",鳳東路 75 之 2 號,"鳳東里
4,6,7,9,10,15,17,29 鄰","",（2）
1336,"鳳東里活動中心
(右側)",鳳東路 75 之 2 號,"鳳東里 5,11,14,16, 
18-21,23,26-28 鄰","",（2）
1337,"中正國小(一年 6
班,編號 606)",勝利路 2 號,"鳳東里
1-3,8,12-13,22,24-25 鄰","","（1） 
原住民"
1338,佈善堂（鎮南宮旁,鳳埤街 58 號,"埤頂里 1,3-6,23,26-27
鄰","",（2）
1339,埤頂里活動中心,鳳埤街 85 號,"埤頂里 2,16,18-19, 
21,25,31 鄰","","（2） 
原住民"
1340,"中正國小(二年 6
班,編號 306)",勝利路 2 號,"埤頂里 7-11,17,20,30
鄰","",（1）
1341,鳳山基督教聖恩堂,"建國路一段 53 巷 2
弄 80 號","埤頂里
12-15,22,24,28-29 鄰","",（2）
1342,中正里活動中心,"瑞興路 422 巷 63 號
之 1",中正里 1-11 鄰,"","（2） 
原住民"
1343,"鳳山新城活動中心
(乙區社區活動中
心左側)",工協街 47 號,"中正里 12-14,17 鄰","",（1）
1344,"鳳山新城活動中心
(乙區社區活動中
心右側)",工協街 47 號,"中正里 15-16,18 鄰","",（1）
1345,"紅十字會育幼中心
慈暉園",瑞光街 81 號,海光里 1-33 鄰,"","（2） 
原住民"
1346,百禾幼兒園,博愛路 336 號,"海光里 34,36-41,35 鄰","",（1）
1347,"鳳西國中(和平樓 B
棟專科教室)",光華路 69 號,"國泰里 1-5,14,22-24 鄰","",（2）
1348,"鳳西國中(和平樓 B
棟一年 6 班教室)",光華路 69 號,國泰里 6-13 鄰,"","（2） 
原住民"
1349,仁智幼稚園,國富路 11 號,"國泰里 15-21,25-27 鄰","",（3）
1350,"忠孝國小(北側門
101 教室)",新富路 630 號,國光里 1-9 鄰,"",（2）
1351,"忠孝國小(北側門
102 教室)",新富路 630 號,國光里 10-18 鄰,"","（2） 
原住民"
1352,"忠孝國小(北側門
104 教室)",新富路 630 號,國光里 19-27 鄰,"",（2）
1353,"忠孝國中(聯課活
動室)",國泰路二段 81 號,"國隆里 1-9,24-25 鄰","",（2）
1354,忠孝國中(桌球室),國泰路二段 81 號,國隆里 10-23 鄰,"","（2） 
原住民"
1355,"五甲國宅社區活動
中心(右)",國富路 31 號,"國富里 1-6,15-18 鄰","","（2） 
原住民"
1356,"五甲國宅社區活動
中心(左)",國富路 31 號,國富里 7-14 鄰,"",（2）
1357,"明園幼稚園(一樓
第一教室)",新富路 87 號,"武慶里
1-3,8,13-15,17-18 鄰","","（1） 
原住民"
1358,"明園幼稚園(一樓
第二教室)",新富路 87 號,"武慶里 4-7,9-12,16,19
鄰","",（1）
1359,伶益幼稚園,崗山北街 50 號,"武漢里
1-3,7-8,13-14,34 鄰","",（2）
1360,仁聖宮,新富路 106 之 1 號,"武漢里
4-6,17,19-20,23-25 鄰","",（3）
1361,武漢活動中心,武營路 239 巷 23 號,"武漢里
9-12,15-16,26-27 鄰","",（1）
1362,"明園幼稚園(一樓
第三教室)",新富路 87 號,"武漢里 18,21-22,28-33
鄰","","（1） 
原住民"
1363,"新甲里活動中心
(左側)",新康街 21 號,"新甲里 1-3,12-13,15-17
鄰","","（2） 
原住民"
1364,"新甲里活動中心
(右側)",新康街 21 號,"新甲里 4-11,14 鄰","",（2）
1365,"新武里活動中心
(左側)",武營路 84 巷 45 號,"新武里 1,3-4,7,9,12-13
鄰","","（1） 
原住民"
1366,"新武里活動中心
(右側)",武營路 84 巷 45 號,"新武里
2,5-6,8,10-11,14-15 鄰","",（1）
1367,鳳新高中(109 教室),新富路 257 號,"新泰里
1-4,6,18-20,26,30 鄰","","（2） 
原住民"
1368,鳳新高中(113 教室),新富路 257 號,"新泰里 5,7-11,16,21-24
鄰","",（2）
1369,鳳新高中(餐廳),新富路 257 號,"新泰里
12-15,17,25,27-29 鄰","",（2）
1370,新甲國小(113 教室),新富路 255 號,"新樂里 1-7,20,22,24 鄰","","（1） 
原住民"
1371,新甲國小(114 教室),新富路 255 號,新樂里 8-14 鄰,"",（2）
1372,新甲國小(115 教室),新富路 255 號,"新樂里 15-19,21,23 鄰","",（2）
1373,新甲國小(117 教室),新富路 255 號,新強里 1-8 鄰,"",（2）
1374,新甲國小(118 教室),新富路 255 號,新強里 9-18 鄰,"",（2）
1375,新甲國小(119 教室),新富路 255 號,新強里 19-28 鄰,"",（2）
1376,新強里活動中心,新富路 230 號,新強里 29-33 鄰,"","（2） 
原住民"
1377,"海洋里活動中心
(右側)",南福街 152 巷 15 號,"海洋里 1-7,26 鄰","","（2） 
原住民"
1378,"海洋里活動中心
(左側)",南福街 152 巷 15 號,"海洋里 8-16,27-28 鄰","",（2）
1379,"長谷藝術奇蹟大樓
管理室",南福街 127 號,"海洋里 17-25,29-32 鄰","",（2）
1380,"鳳甲國中(後棟左
側教室)",輜汽路 300 號,新富里 1-9 鄰,"",（2）
1381,"鳳甲國中(後棟中
間教室)",輜汽路 300 號,新富里 10-17 鄰,"",（2）
1382,"鳳甲國中(後棟右
側教室)",輜汽路 300 號,新富里 18-25 鄰,"","（2） 
原住民"
1383,忠孝國小(105 教室),新富路 630 號,"老爺里 7-14,39 鄰","",（2）
1384,"雷府大將公廟(左
側)",五甲一路 732 號,"老爺里 5,6,15,17-20 鄰","","（1） 
原住民"
1385,"雷府大將公廟(右
側)",五甲一路 732 號,"老爺里 4,16,21-26,38
鄰","",（1）
1386,"老爺里活動中心
(左側)",興隆街 42 號,老爺里 27-33 號,"",（2）
1387,"老爺里活動中心
(右側)",興隆街 42 號,"老爺里 1-3,34-37 號","",（2）
1388,"中崙國小(Ｆ11 教
室)",中崙四路 25 號,中民里 1-8 鄰,"",（2）
1389,"中崙國小( D11 教
室)",中崙四路 25 號,中民里 9-17 鄰,"","（2） 
原住民"
1390,"中崙國小(A11 教
室)",中崙四路 25 號,中民里 18-27 鄰,"",（2）
1391,"中崙國宅(媽媽教
室)",中崙四路 5 號,中崙里 1-8 號,"","（2） 
原住民"
1392,"中崙國小( A13 教
室)",中崙四路 25 號,中崙里 9-16 鄰,"",（2）
1393,"中崙國中(生物教
室)",中崙二路 487 號,"中榮里 2-7,28 鄰","",（2）
1394,"中崙國中(理化教
室)",中崙二路 487 號,中榮里 8-13 鄰,"",（2）
1395,"中崙國中(補校教
室)",中崙二路 487 號,"中榮里 1,20-27,29 鄰","","（2） 
原住民"
1396,"中崙國小(Ｆ12 教
室)",中崙四路 25 號,"中榮里 14-19,30-31 鄰","",（2）
1397,"過埤國小(一年一
班教室)",過埤路 176 號,過埤里 1-7 鄰,"","（1） 
原住民"
1398,"過埤國小(一年二
班教室)",過埤路 176 號,過埤里 8-14 鄰,"",（1）
1399,"過埤國小(一年三
班教室)",過埤路 176 號,過埤里 15-18 鄰,"",（1）
1400,"過埤國小(一年四
班教室)",過埤路 176 號,過埤里 19-25 鄰,"",（1）
1401,"過埤國小(一年五
班教室)",過埤路 176 號,過埤里 26-31 鄰,"",（1）
1402,"過埤國小(二年一
班教室)",過埤路 176 號,過埤里 32-36 鄰,"",（1）
1403,"過埤國小(D104 會
議室)",過埤路 176 號,過埤里 37-42 鄰,"",（1）
1404,"過埤國小(英文教
室)",過埤路 176 號,過埤里 43-47 鄰,"",（1）
1405,正義高中(102 教室),南江街 183 號,"正義里 2-6,33,44,46-49
鄰","",（2）
1406,正義高中(103 教室),南江街 183 號,"正義里 7-9,12-13,26, 
34-35,40 鄰","","（2） 
原住民"
1407,"正義國小(一樓會
議室)",南昌街 55 號,"正義里
1,15-20,28-29,41,43 鄰","",（2）
1408,美泰宮,南昌街 23 號,"正義里
21-25,37-38,42,45 鄰","",（3）
1409,正義里活動中心,南江街 185 號,"正義里 10-11,14,27, 
30-32,36,39 鄰","",（2）
1410,"鳳翔國中(一年一
班教室)",保義街 100 號,保安里 1-9 鄰,"",（2）
1411,"鳳翔國中(一年二
班教室)",保義街 100 號,保安里 10-17 鄰,"",（2）
1412,"鳳翔國中(一年三
班教室)",保義街 100 號,保安里 18-24 鄰,"","（1） 
原住民"
1413,正義高中(105 教室),南江街 183 號,"一甲里 1-2,12,14-15, 
17,19,21,26 鄰","",（2）
1414,"正義國小(2 年 1 班
113 教室)",南昌街 55 號,"一甲里 4-7,10,13,22-23
,25,27 鄰","","（2） 
原住民"
1415,"正義國小(2 年 2 班
112 教室)",南昌街 55 號,"一甲里 3,8-9,11,16,18, 
20,24,28 鄰","",（2）
1416,"二甲里活動中心
(左側)",林森路 379 號,"二甲里 6-14,18-19 鄰","",（2）
1417,"二甲里活動中心
(右側)",林森路 379 號,"二甲里 1-5,20-22,24-26
鄰","",（2）
1418,鳳翔國小(校史室),鳳育路 63 號,"二甲里 15-17,23,27-31
鄰","","（1） 
原住民"
1419,"五甲國中(自強樓
右側教室)",龍成路 111 號,"龍成里 1,4-5,8,10, 
12-14,17-18 鄰","",（1）
1420,"五甲國中(自強樓
中間教室)",龍成路 111 號,"龍成里 2-3,6-7,9,11, 
15-16,19 鄰","","（2） 
原住民"
1421,楊家祖祠堂(右側),永安街 91 號,"鎮南里
1-4,6,27-28,32-33 鄰","",（3）
1422,"五甲國中(自強樓
左側教室)",龍成路 111 號,"鎮南里
9,20,23-26,30-31 鄰","",（2）
1423,楊家祖祠堂(左側),永安街 91 號,"鎮南里 5,7-8,10,18-19 
,21-22,34,37 鄰","","（3） 
原住民"
1424,心德佛堂(後間),五甲二路 722 號,"鎮南里 11-17,29,35-36
號","",（3）
1425,"五甲國小(補一甲
教室)",五甲二路 424 號,富甲里 1-6 鄰,"","（2） 
原住民"
1426,"五甲國小(補二甲
教室)",五甲二路 424 號,富甲里 7-17 鄰,"",（2）
1427,"五甲國小(北棟 110
教室)",五甲二路 424 號,"善美里 1-5,24-25 鄰","",（2）
1428,"五甲國小(北棟 112
教室)",五甲二路 424 號,"善美里 6-11,26,29 鄰","",（2）
1429,五甲國小(113 教室),五甲二路 424 號,"善美里 12-17,27-28 鄰","",（2）
1430,五甲國小(114 教室),五甲二路 424 號,"善美里 18-23,30-32 鄰","","（2） 
原住民"
1431,南成國小(101 教室),南和街 101 號,"富榮里 1-6,15 鄰","","（2） 
原住民"
1432,南成國小(105 教室),南和街 101 號,富榮里 7-14 鄰,"",（2）
1433,南成國小(120 教室),南和街 101 號,"南和里 6-14,20,22-23
鄰","",（2）
1434,南成國小(122 教室),南和街 101 號,"南和里 1-5,15-19,21,24
鄰","","（2） 
原住民"
1435,保安宮,"南和街 177 巷 12 號
之 2","南成里 1,3,25-26,27,32
鄰","",（3）
1436,順南宮,林森路 146 之 2 號,"南成里 4-8,23 鄰","",（3）
1437,代德宮,國慶九街 25-1 號,"南成里 2,31,33-42 鄰","",（3）
1438,南成國小(106 教室),南和街 101 號,"南成里 9-14,24 鄰","","（2） 
原住民"
1439,"松青幼稚園(入園
左側教室)",福安二街 109 號,南成里 15-22 鄰,"",（1）
1440,啟明宮,保安一街 149 號,南成里 28-30 鄰,"",（1）
1441,龍成宮(右側教室),"五甲二路 730 巷 6
號",天興里 1-11 鄰,"","（2） 
原住民"
1442,"協善心德堂(前左
側廟堂)",五甲二路 722 號,天興里 15-24 鄰,"",（3）
1443,"協善心德堂(前右
側廟堂)",五甲二路 722 號,"天興里 12-14,25-32 鄰","",（3）
1444,五虎廟(右側),天興街 199 之 1 號,大德里 1-10 鄰,"",（3）
1445,五虎廟(左側),天興街 199 之 1 號,"大德里 11-16,18-21, 
23-24 鄰","","（3） 
原住民"
1446,環保志工協會,"福安二街 20 巷尾
(高速公路涵洞旁)","大德里 17,22,25-32 鄰","",（2）
1447,"五福國小(小木馬
116 教室)",福德街 145 號,五福里 1-16 鄰,"","（2） 
原住民"
1448,"五福國小(二年一
班 118 教室)",福德街 145 號,五福里 17-29 鄰,"",（2）
1449,"五福國小(三年一
班 119 教室)",福德街 145 號,五福里 30-37 鄰,"",（2）
1450,"五福國小(二年二
班 120 教室)",福德街 145 號,福興里 1-9 鄰,"",（2）
1451,"五福國小(二年五
班 121 教室)",福德街 145 號,福興里 10-20 鄰,"",（2）
1452,"五福國小(六年一
班 123 教室)",福德街 145 號,福興里 21-30 鄰,"","（2） 
原住民"
1453,"五福國小(126 社團
教室)",福德街 145 號,福興里 31-39 鄰,"",（2）
1454,"高雄市立圖書館鳳
山二館","自強一路 119 巷 75
號",福興里 40-50 鄰,"",（2）
1455,"福誠高中(左側第
一教室)",五甲三路 176 號,福祥里 1-12 鄰,"",（2）
1456,"福誠高中(左側第
二教室)",五甲三路 176 號,福祥里 13-23 鄰,"","（2） 
原住民"
1457,"福誠國小(幼兒園
餐廳)",忠誠路 145 號,福誠里 1-9 鄰,"",（2）
1458,"福誠國小(課後照
顧班教室)",忠誠路 145 號,福誠里 10-19 鄰,"","（2） 
原住民"
1459,"福誠國小(音樂教
室)",忠誠路 145 號,福誠里 20-29 鄰,"",（2）
第 10 選舉區,"",前鎮區,"","",""
1460,率性佛堂左側,草衙中街 36 號,"草衙里 1-5、7-13、15
17 鄰",8210516,"（1）原住民 
4、6、14、16 鄰
空鄰"
1461,佛公國小 E 化教室,后平路 135 號,草衙里 18-24 鄰,8229801,（1）
1462,"佛公國小 1 年 1 班
教室",后平路 135 號,"草衙里 25、29、30、
32-34 鄰",8229801,（1）
1463,"佛公國小 1 年 3 班
教室",后平路 135 號,"草衙里 31、35、39-44
鄰",8229801,（1）
1464,佛公天后宮左側,天后街 34 號,"草衙里 26-28、36-38
鄰",8316812,（1）
1465,"朝陽寺香客大樓一
樓",草衙中街 34 號,明孝里 1-18 鄰,8311009,"（2）原住民 
3、5、10 鄰空鄰"
1466,"高雄市政府海洋局
一樓左側入口",漁港中一路 2 號,明孝里 19-28 鄰,"8157085 轉
1037","（2） 
24 鄰空鄰"
1467,"明正國小二年一班
教室",明道路 2 號,明正里 2-16 鄰,8118847,"（2） 
1、12 鄰空鄰"
1468,"明正國小二年三班
教室",明道路 2 號,明正里 17-26 鄰,8118847,"（2） 
原住民"
1469,"紅毛港國小一年一
班教室",明鳳七街 1 號,明正里 27-30 鄰,7917608,（1）
1470,"明正國小課後輔導
班教室",明道路 2 號,明義里 1-10 鄰,8118847,"（2） 
原住民"
1471,三龍宮右側儲藏室,福民街 45 巷 17 號,明義里 12-20 鄰,8416798,"（1） 
11 鄰空鄰"
1472,"仁愛國小樂齡示範
中心","新衙路 93 號（由德
昌路正門進入）",仁愛里全里,"8414911 轉
731","（2）原住民 
9、17、19 鄰空
鄰"
1473,"前鎮國中一年 1 班
教室",新衙路 17 號,德昌里 1-10 鄰,8217677,"（1） 
原住民"
1474,"前鎮國中二年 2 班
教室",新衙路 17 號,德昌里 11-24 鄰,8217677,（1）
1475,"前鎮高中奮發樓 1
年 4 班教室",鎮中路 132 號,平等里全里,8226841,"（1） 
原住民"
1476,"前鎮高中奮發樓 1
年 2 班教室",鎮中路 132 號,平昌里全里,8226841,"（1）原住民 
6-10、15 鄰空鄰"
1477,"前鎮國中排球館東
側","新衙路 17 號(東側
門進入)",明禮里全里,8217677,"（1）原住民 
1、13、15、20
鄰空鄰"
1478,五千宮,衙和三街 1 號,信義里全里,8116959,"（2）原住民 
2、4、6、8、10
鄰空鄰"
1479,天聖宮,衙孝街 25 號,"信德里 1、2、4、6、
8-16、18、19、21 鄰",8413653,"（2） 
3、5、7、20 鄰
空鄰"
1480,"興仁國中美樓 101
教室",德昌路 345 號,信德里 17、22-33 鄰,8218119,"（1） 
原住民"
1481,"前鎮國中 B 棟預備
教室",新衙路 17 號,明道里全里,8217677,"（1）原住民 
3、7、13 鄰空鄰"
1482,慈正宮,興旺路 331 巷 12 號,興化里全里,8221817,"（2）原住民 
3、5-7、10、
12-14、17-18 鄰
空鄰"
1483,前鎮國小自然教室,新生路 200 號,興仁里全里,8212448,"（2）原住民 
1、4、13 鄰空鄰"
1484,警善堂,前鎮二巷 10 之 1 號,前鎮里全里,8213894,"（1）原住民 
1、8 鄰空鄰"
1485,洪國崴宅,鎮東街 30 號,鎮東里 1-11 鄰,8137871,"（1） 
原住民"
1486,"基督教循理會佳音
教會",鎮東街 19 號,鎮東里 12-21 鄰,"8152852 
0932746660",（1）
1487,慈德宮會議室,鎮榮街 91 號,鎮榮里 1-12 鄰,8416831,"（1） 
原住民"
1488,慈德宮辦公室,鎮榮街 91 號,鎮榮里 13-24 鄰,8416831,（2）
1489,"鎮昌鎮榮里活動中
心",鎮興路 82 號,鎮昌里 13-20 鄰,8215170,"（1） 
原住民"
1490,育英雙語幼兒園,鎮東二街 147 號,"鎮昌里 1、4-12、21、
22 鄰",8216669,"（1） 
2、3 鄰空鄰"
1491,"新明德發展協會東
區活動中心","鎮東一街 395 巷
30-1 號",鎮海里 1-13 鄰,0928345756,（1）
1492,鎮昌國小 106 教室,樹人路 261 號,鎮海里 14-20 鄰,8213993,（2）
1493,鎮昌國小 110 教室,樹人路 261 號,鎮海里 21-26 鄰,8213993,"（2） 
原住民"
1494,前鎮長老教會,鎮賢街 49 號,鎮陽里全里,8212443,"（1）原住民 
1、4、11、18 鄰
空鄰"
1495,"原住民服務中心大
禮堂",翠亨北路 390 號,興邦里 1-10 鄰,7406511,"（1）原住民 
4 鄰空鄰"
1496,社會局無障礙之家,翠亨北路 392 號,興邦里 11-20 鄰,8151500,（1）
1497,"裕峯遊覽公司停車
場",前鎮街 128 號,鎮中里全里,8213226,"（1）原住民 
2、4、8、9、14
15 鄰空鄰"
1498,鎮南宮正善堂,鎮旺街 1 號,鎮北里全里,8214465,"（1）原住民 
5、8、10、15 鄰
空鄰"
1499,"君毅正勤里社區活
動中心","中華五路 969 巷 12
號(由東北側門進
入)",忠純里 1-15 鄰,3323890,（1）
1500,"君毅正勤里社區活
動中心","中華五路 969 巷 12
號(由東南側門進
入)",忠純里 16-25 鄰,3323890,"（1） 
原住民"
1501,"獅甲社區管理委員
會後方閱覽室",正勤路 39 號,忠純里 26-29 鄰,5379386,（1）
1502,"君毅正勤里社區活
動中心","中華五路 969 巷 12
號(由西北側門進
入)",忠誠里 1-10 鄰,5361586,（1）
1503,"君毅正勤里社區活
動中心","中華五路 969 巷 12
號(由西南側門進
入)",忠誠里 11-24 鄰,5361586,"（1）原住民 
19 鄰空鄰"
1504,"復興國小多功能教
室 2",民權二路 331 號,西山里 2-16 鄰,3351784,"（2） 
1 鄰空鄰"
1505,"復興國小多功能教
室 3",民權二路 331 號,"西山里 17-21、23-33
鄰",3351784,"（2）原住民 
22 鄰空鄰"
1506,民權里活動中心,管仲路 50 巷 1 號,民權里 1-4、14-16 鄰,3311467,"（1） 
原住民"
1507,"民權國小一年二班
教室",沱江街 200 號,民權里 5-13 鄰,5367173,（2）
1508,"民權國小一年四班
教室",沱江街 200 號,民權里 17-23 鄰,5367173,（2）
1509,"獅甲國小一年一班
教室",中山三路 45 號,建隆里全里,3311465,"（2）原住民 
11、12 鄰空鄰"
1510,"獅甲國小六年一班
教室",中山三路 45 號,振興里 1-14 鄰,3311465,"（2）原住民 
11 鄰空鄰"
1511,"獅甲國小四年一班
教室",中山三路 45 號,振興里 15-23 鄰,3311465,（2）
1512,"獅甲國小一年二班
教室",中山三路 45 號,良和里 1-17 鄰,3311465,"（2） 
3、5、10、11 鄰
空鄰"
1513,"復興國小幼稚園餐
廳",民權二路 331 號,良和里 18-31 鄰,3351784,"（2） 
原住民"
1514,"復興國小多功能教
室 4",民權二路 331 號,西甲里全里,3351784,"（2）原住民 
8、9、12、16、
17 鄰空鄰"
1515,愛群國小圖書館,二聖二路 194 號,盛興里 1-11 鄰,3320323,（1）
1516,"愛群國小浣熊班教
室",二聖二路 194 號,盛興里 12-22 鄰,3320323,"（1） 
原住民"
1517,"愛群國小一年 3 班
教室","二聖二路 194 號 
（由二聖二路大門
口進入）",盛豐里 1-15 鄰,3320323,"（1） 
原住民"
1518,"愛群國小二年 1 班
教室","二聖二路 194 號 
（由二聖二路大門
口進入）",盛豐里 16-29 鄰,3320323,（1）
1519,"愛群國小二年 2 班
教室","二聖二路 194 號 
（由學校東側門公
園旁進入）","興中里 1、3-6、9-14
16-20 鄰","3320323 
轉 31","（1） 
2、7、8、15 鄰
空鄰"
1520,"愛群國小二年 3 班
教室","二聖二路 194 號 
（由學校東側門公
園旁進入）",興中里 21-34 鄰,"3320323 
轉 31","（1） 
原住民"
1521,"中正高工機二忠教
室",光華二路 80 號,興東里 1-10 鄰,"7232301 轉
542","（1） 
原住民"
1522,"中正高工機二孝教
室",光華二路 80 號,興東里 11-19 鄰,"7232301 轉
542",（1）
1523,"中正高工汽二孝教
室",光華二路 80 號,興東里 20-27 鄰,"7232301 轉
542",（1）
1524,"愛群國小一年一班
教室",二聖二路 194 號,忠孝里 1-16 鄰,3320323,"（1） 
2、8、9 鄰空鄰"
1525,"愛群國小一年二班
教室",二聖二路 194 號,忠孝里 17-29 鄰,3320323,"（1） 
原住民"
1526,"光華國小二年一班
教室",廣西路 57 號,復國里 1-18 鄰,7222846,"（1） 
10、14 鄰空鄰"
1527,"光華國小二年二班
教室",廣西路 57 號,復國里 19-35 鄰,7222846,"（1）原住民 
23 鄰空鄰"
1528,"樂群國小課後班辦
公室",育樂路 61 號,竹內里 1-11 鄰,7225846,"（1） 
原住民"
1529,"樂群國小一年 5 班
教室",育樂路 61 號,竹內里 12-24 鄰,7225846,（1）
1530,光華國中圖書館,和平二路 170 號,竹東里 1-8 鄰,7222622,"（2） 
原住民"
1531,"光華國中親師談話
室",和平二路 170 號,竹東里 9-17 鄰,7222622,（2）
1532,樂群國小美勞教室,育樂路 61 號,竹南里 1-13 鄰,7225846,"（1）原住民 
7、8 鄰空鄰"
1533,"樂群國小多功能教
室",育樂路 61 號,竹南里 14-27 鄰,7225846,"（1） 
18、23、26 鄰空
鄰"
1534,"民權國小一年一班
教室",沱江街 200 號,"竹南里 28-30、35-36
鄰","5367173 
5367177",（2）
1535,"民權國小一年三班
教室",沱江街 200 號,竹南里 31-34 鄰,"5367173 
5367177",（2）
1536,"光華國中（2 樓）206
教室",和平二路 170 號,竹北里 1-8 鄰,"7222622 轉
533","（2）原住民 
2 鄰空鄰"
1537,"光華國中（2 樓）205
教室",和平二路 170 號,竹北里 9-19 鄰,"7222622 轉
533",（2）
1538,"中正高工機一孝教
室",光華二路 80 號,竹西里 1-13 鄰,"7232301 轉
542","（1）原住民 
2 鄰空鄰"
1539,"中正高工汽一忠教
室",光華二路 80 號,竹西里 14-21 鄰,"7232301 轉
542",（1）
1540,"中正高工汽一孝教
室",光華二路 80 號,竹西里 22-29 鄰,"7232301 轉
542",（1）
1541,"光華國小一年一班
教室",廣西路 57 號,竹中里 1-8 鄰,7222846,"（1） 
原住民"
1542,"光華國小一年二班
教室",廣西路 57 號,竹中里 9-23 鄰,7222846,（1）
1543,"瑞祥高中奮鬥樓國
三 21 班教室",班超路 63 號,瑞竹里全里,8152271,"（2）原住民 
3 鄰空鄰"
1544,"瑞祥高中創造樓高
一 9 班教室",班超路 63 號,瑞南里 1-15 鄰、34 鄰,8152271,"（2） 
6 鄰空鄰"
1545,"瑞祥高中創造樓高
二 9 班教室",班超路 63 號,瑞南里 16-25 鄰,8152271,"（2） 
原住民"
1546,"瑞祥高中創造樓高
三 9 班教室",班超路 63 號,瑞南里 26-33 鄰,8152271,（2）
1547,"瑞祥高中奮鬥樓國
一 20 班教室",班超路 63 號,瑞豐里 1-13 鄰,8152271,"（2）原住民 
11 鄰空鄰"
1548,"瑞祥高中奮鬥樓國
二 21 班教室",班超路 63 號,瑞豐里 14-26 鄰,8152271,"（2） 
15 鄰空鄰"
1549,"瑞祥國小體育樓一
年 1 班教室",班超路 20 號,瑞祥里 1、3-13 鄰,7221212,（1）
1550,"瑞祥國小一年 3 班
教室",班超路 20 號,瑞祥里 14-20、23 鄰,7221212,"（1） 
原住民"
1551,"瑞祥國小自然教室
E",班超路 20 號,"瑞祥里 2、21、22、24-27
鄰",7221212,（1）
1552,"瑞祥國小智育樓二
年 7 班教室",班超路 20 號,瑞東里 1-4、12-15 鄰,7221212,"（1） 
原住民"
1553,"瑞祥國小自然教室
D",班超路 20 號,瑞東里 5-11、16-20 鄰,7221212,（1）
1554,"台灣基督長老教會
凱旋教會",公正路 106 巷 2 號,瑞和里 1-8 鄰,7610210,（1）
1555,"台灣基督長老教會
凱旋教會",公正路 106 巷 1 號,瑞和里 9-19 鄰,7610210,"（1）原住民 
13 鄰空鄰"
1556,"基督教信義會崗山
教會","崗山南街 396 號(由
崗山南街大門出
入)",瑞平里 1-11 鄰,7714753,（1）
1557,"基督教信義會崗山
教會","崗山南街 396 號(由
崗山南街 374 巷側
門出入)",瑞平里 12-21 鄰,7714753,（1）
1558,"崗山仔南區老人活
動中心","保泰路 303 號(由保
泰路大門出入)",瑞平里 22-27 鄰,7174575,"（1） 
原住民"
1559,"瑞豐國小健康促進
室",瑞隆路 100 號,瑞隆里 1-9 鄰,7110846,（1）
1560,"瑞豐國小一年 7 班
教室",瑞隆路 100 號,"瑞隆里 10-15、19、20
鄰",7110846,"（1） 
原住民"
1561,"崗山仔南區老人活 
動中心","保泰路 303 號(由崗
山橫街後門進入)","瑞隆里 16-18、21-23
鄰",7174575,（2）
1562,"崗山仔中區老人活
動中心 1 樓",瑞孝街 33 號,瑞北里 1-15 鄰,7170958,"（1） 
原住民"
1563,"崗山仔中區老人活
動中心 3 樓",瑞孝街 33 號,瑞北里 16-29 鄰,7170958,（1）
1564,瑞豐國中 3201教室,瑞興街 99 號,瑞西里 1-9、21-24 鄰,7713181,"（1） 
原住民"
1565,瑞豐國中 3203教室,瑞興街 99 號,瑞西里 10-20 鄰,7713181,（1）
1566,保安宮,瑞義街 14 號,瑞崗里 1-10 鄰,7613580,"（.2） 
原住民"
1567,善導天主堂,瑞隆路 356 號,瑞崗里 11-21 鄰,7611190,（2）
1568,優佳國中 106 教室,"瑞興街 99 號（由瑞
北路進入）",瑞興里 1-9 鄰,7277277,"（2） 
原住民"
1569,優佳國中 108 教室,"瑞興街 99 號（由瑞
北路進入）",瑞興里 10-19 鄰,7277277,（2）
1570,瑞豐國中 2201教室,瑞興街 99 號,瑞誠里 1-6 鄰,7611983,"（1） 
原住民"
1571,瑞豐國中 2203教室,瑞興街 99 號,瑞誠里 7-15 鄰,7611983,（1）
