編號,場所名稱,投(開)票所地址,所屬里別,所屬鄰別
0200,雙春漁民活動中心,北門區雙春里１鄰雙春５之１２號,雙春里,全里
0201,錦湖國小,北門區錦湖里８鄰渡子頭７５號,錦湖里,全里
0202,三慈國小,北門區慈安里１鄰三寮灣３８１號,慈安里,全里
0203,三慈國小,北門區慈安里１鄰三寮灣３８１號,三光里,1-12
0204,蘆竹溝漁港漁貨銷售中心,北門區三光里１５鄰蘆竹溝３３３號之１１,三光里,13-17
0205,東興宮,北門區中樞里４鄰溪底寮２３號,中樞里,全里
0206,仁里里活動中心,北門區仁里里２鄰二重港２７號,仁里里,全里
0207,集和宮,學甲區秀昌里６鄰一秀６９號,秀昌里,1-13
0208,慈太宮,學甲區秀昌里２１鄰下溪洲７０號,秀昌里,14-21
0209,煥昌社區活動中心,學甲區秀昌里３１鄰煥昌８２號之１,秀昌里,22-33
0210,學甲國小(禮堂),學甲區秀昌里３鄰一秀３０號,明宜里,1-12
0211,天仁工商職校(111教室),學甲區明宜里１８鄰天水路３０號,明宜里,13-23
0212,白礁宮,學甲區慈福里３鄰民權路２２號,慈福里,1-8
0213,興太宮,學甲區慈福里１５鄰濟生路６４號,慈福里,9-15
0214,慈濟宮(香客休息室),學甲區慈福里１８鄰濟生路１７０號,慈福里,16-29
0215,學甲區綜合體育館,學甲區仁得里１鄰建國路３７號之７,仁得里,1
0216,原學甲鎮民代表會,學甲區仁得里１鄰建國路３６號,仁得里,2-11
0217,興善寺(左室),學甲區仁得里１１鄰建國路８６號,仁得里,12-17
0218,新寮普濟宮活動中心,學甲區新達里１１鄰新興路２１號,新達里,1-15
0219,山寮東明宮,學甲區新達里１８鄰山寮２６號之１,新達里,16-26
0220,臺南市政府環境保護局學甲區隊,學甲區新榮里１鄰東寮１４號之６,新榮里,"1,7-9"
0221,新榮里中山堂,學甲區新榮里６鄰東寮６３號之１,新榮里,2-6
0222,大灣中山堂,學甲區大灣里１０鄰大灣１０１號之１,大灣里,全里
0223,豐和里活動中心,學甲區豐和里１０鄰美豐８２號之５,豐和里,全里
0224,聖嶽宮(管理委員會),學甲區中洲里１３鄰中洲１３６號之１,中洲里,1-19
0225,第五社區發展協會活動中心,學甲區中洲里２４鄰中洲３１３號之２,中洲里,20-37
0226,光華社區活動中心,學甲區光華里８鄰過港子６５號,光華里,1-18
0227,鎮安宮活動中心,學甲區光華里２４鄰頭港子６８號之１,光華里,19-29
0228,慈德宮,學甲區宅港里４鄰宅子港６１號,宅港里,全里
0229,慈照宮,學甲區平和里７鄰學甲寮６２號之１,平和里,全里
0230,頂洲社區活動中心,學甲區三慶里１鄰頂洲１２號,三慶里,1-14
0231,三慶里照顧關懷據點,學甲區三慶里１５鄰紅茄９號旁,三慶里,15-24
0232,新芳社區活動中心,學甲區三慶里２９鄰新芳５４號之２,三慶里,25-35
0233,長榮社區活動中心,將軍區長榮里５１－４號,長榮里,全里
0234,西華社區活動中心,將軍區西華里５１－５號,西華里,全里
0235,西和社區活動中心,將軍區西華里１３０－１５號,西和里,全里
0236,忠興里辦公處,將軍區忠興里８１號,忠興里,1-8
0237,忠興社區活動中心,將軍區忠興里１２０號,忠興里,9-20
0238,嘉昌里活動中心,將軍區嘉昌里９８－５號,嘉昌里,1-12
0239,昌平社區活動中心,將軍區嘉昌里昌平６６－２號,嘉昌里,13-21
0240,苓保社區活動中心,將軍區保源里苓保６６－２５號,保源里,1-10
0241,源頭社區活動中心,將軍區保源里源頭５６號,保源里,11-19
0242,苓和社區活動中心,將軍區苓和里苓和１１８－５號,苓和里,1-12
0243,忠寮社區活動中心,將軍區苓和里忠寮１３號,苓和里,13-19
0244,巷口社區活動中心,將軍區仁和里仁巷５２號,仁和里,全里
0245,北埔社區活動中心,將軍區北埔里９４號,北埔里,全里
0246,將軍國小,將軍區將貴里５８號,將富里,全里
0247,金興宮保生大樓,將軍區將貴里將貴５４－１號,將貴里,全里
0248,三吉里民活動中心,將軍區三吉里３６號,三吉里,全里
0249,玉山社區活動中心,將軍區玉山里７９號,玉山里,全里
0250,廣山里活動中心,將軍區廣山里９７－６號,廣山里,全里
0251,馬沙溝濱海休閒活動中心,將軍區長沙里２４－３０號,長沙里,1-8
0252,觀音巖,將軍區長沙里８０號,長沙里,9-16
0253,馬沙溝社區活動中心,將軍區平沙里５８－３號,平沙里,全里
0254,鯤鯓國小,將軍區鯤溟里６號,鯤鯓里,1-13
0255,青鯤鯓社區長壽會館,將軍區鯤鯓里２３６號,鯤鯓里,14-21
0256,鯤鯓國小,將軍區鯤溟里６號,鯤溟里,全里
0257,下營上帝廟(香客大樓1樓餐廳,"下營區下營里１９鄰) 中山路1段１號",下營里,全里
0258,下營國小課室,下營區仁里里２３鄰中山路2段７２號,仁里里,"1-7,21-23"
0259,下營國小課室,下營區仁里里２３鄰中山路2段７２號,仁里里,8-20
0260,舊下營鄉立托兒所,下營區宅內里６鄰東興三街７６號,宅內里,全里
0261,下營地區民眾活動中心,下營區後街里１９鄰大孝街１號,後街里,全里
0262,東興國小課室,下營區新興里４鄰東興ㄧ街１１２號,新興里,1-10
0263,東興國小課室,下營區新興里４鄰東興ㄧ街１１２號,新興里,11-20
0264,下營國小課室,下營區仁里里２３鄰中山路2段７２號,營前里,"1-16,24-25"
0265,下營國小課室,下營區仁里里２３鄰中山路2段７２號,營前里,"17-23,26"
0266,大屯里活動中心,下營區大屯里３鄰大屯寮２３之２號,大屯里,全里
0267,大埤里活動中心,下營區大埤里２鄰大埤寮９號,大埤里,全里
0268,茅港尾天后宮會議室,下營區茅港里７鄰茅港尾１６３號,茅港里,全里
0269,中營開化活動中心,下營區開化里４鄰中營２４２號,中營里,全里
0270,中營國小課室,下營區開化里４鄰中營２７０號,開化里,"1-4,16-18"
0271,中營國小課室,下營區開化里４鄰中營２７０號,開化里,"5-15,19"
0272,西連里活動中心,下營區西連里６鄰西寮１３－２５號,西連里,全里
0273,賀建國小餐廳,下營區賀建里５鄰麻豆寮４９號,賀建里,全里
0274,甲中國小課室,下營區甲中里１９鄰中庄子７１號,甲中里,全里
0275,紅厝里活動中心,下營區紅厝里８鄰紅毛厝５７號,紅厝里,全里
0276,六甲國小,六甲區六甲里中正路３１９號,六甲里,"1-4,29-32"
0277,六甲國小,六甲區六甲里中正路３１９號,六甲里,"5-14,25"
0278,六甲里活動中心,六甲區六甲里亯義街２３８巷１４弄１７號,六甲里,"15-24,26-28"
0279,甲東里活動中心,六甲區甲東里４鄰忠孝街２１７號,甲東里,"1-14,18"
0280,甲東里陳聖王公府(右室),六甲區甲東里１５鄰忠孝街１４６號,甲東里,"15-17,19-29"
0281,甲南里活動中心,六甲區甲南里珊瑚路１７巷２號,甲南里,全里
0282,龍湖里關懷中心,六甲區龍湖里中華路２１５巷１０－１號旁〈六甲衛生所對面〉,龍湖里,全里
0283,七甲、龍湖多功能活動中心,六甲區七甲里七甲街８９巷２號,七甲里,全里
0284,二甲里舊活動中心,六甲區二甲里６鄰民權街２３１號(玄武殿後),二甲里,"1-8,10-14"
0285,二甲里活動中心,六甲區二甲里建工街２６６號,二甲里,"15-18,20,26"
0286,二甲里玄武殿(左室),六甲區二甲里６鄰民權街２３１號,二甲里,"9,19,21-25"
0287,水林里龍玄宮(右室-關懷據點),六甲區水林里２鄰中山路２０６巷２７號,水林里,"1-4,16-18"
0288,水林里活動中心,六甲區水林里５鄰民族街２６９號,水林里,5-15
0289,林鳳社區發展協會活動中心,六甲區中社里中社１７３號,中社里,1-11
0290,中社里活動中心,六甲區中社里中社３５１號,中社里,12-22
0291,龜港里保生廟(左室),六甲區龜港里５鄰１６１巷４１弄６８號,龜港里,全里
0292,菁埔里活動中心,六甲區菁埔里菁埔８３號,菁埔里,全里
0293,王爺里活動中心,六甲區王爺里番子坑,王爺里,全里
0294,大丘里活動中心,六甲區大丘里大丘園〈派出所旁〉,大丘里,全里
0295,私立麻豆樂人帅兒園,麻豆區穀興里中華街２２號,穀興里,全里
0296,保安宮,麻豆區保安里２鄰興中路２１號,保安里,全里
0297,麻豆國小,麻豆區東角里２鄰文昌路１８號,東角里,"6-7,9-12,14-15"
0298,麻豆國小,麻豆區東角里２鄰文昌路１８號,東角里,"1-5,8,13"
0299,順天宮,麻豆區晋江里１３鄰民權路８７號,晋江里,4-15
0300,麻豆國小,麻豆區東角里２鄰文昌路１８號,晋江里,"1-3,16-22"
0301,慶安宮(右室),麻豆區巷口里５鄰和平路３號,巷口里,全里
0302,中興、興農里活動中心,麻豆區中興里自由路８－６號,中興里,1-10
0303,良皇宮(右室),麻豆區中興里１８鄰自由路９－１號,中興里,11-18
0304,興農社區活動中心,麻豆區興農里５鄰成功街２－５號,興農里,全里
0305,萬福宮,麻豆區新建里４鄰興民街８３號,新建里,全里
0306,油車里活動中心,麻豆區油車里１９鄰自由路４６號西側,油車里,1-12
0307,太子宮,麻豆區油車里１３鄰油車９５號,油車里,13-22
0308,北勢國小,麻豆區北勢里１０鄰１５號,北勢里,全里
0309,北極殿普濟寺,麻豆區大埕里４鄰復興街２４號,大埕里,1-9
0310,大埕里活動中心,麻豆區大埕里１５鄰大同街２６號之１,大埕里,10-18
